Ropecon 2015;Event;Norkkokujan Sirkus;Ropecon 2015;{"PUBLIC"}
SLS;Permanent;Norkkokujan Sirkus;;{"PUBLIC"}
Fool's Gold;Permanent;Norkkokujan Sirkus;;{"PUBLIC"}
Lautapelaamaan 2015;Event;SLS;Lautapelaamaan 2015;{"PUBLIC"}
Demo;Event;Norkkokujan Sirkus;Demo;{"PUBLIC"}
Tracon Hitpoint 2015;Event;SLS;Tracon Hitpoint 2015;{"PUBLIC"}
Ropecon 2016;Event;SLS;;{"PUBLIC"}
Tracon 2016;Event;SLS;;{"PUBLIC"}
LautapelipäiväViikki;Event;Norkkokujan Sirkus;Lautapelipäivä 13.9.2015;{"PUBLIC"}
Viikin pelipäivät II;Event;Norkkokujan Sirkus;Viikin pelipäivät;{"PUBLIC"}
Lautapelaamaan 2016;Event;SLS;Lautapelaamaan 2016;{"PUBLIC"}
Tracon Hitpoint 2017;Event;SLS;Tracon Hitpoint 2017;{"PUBLIC"}
Tampere kuplii 2017;Event;SLS;Tampere Kuplii 2017;{"PUBLIC"}
Vaalicon 2017;Event;SLS;Vaalicon 2017;{"PUBLIC"}
VIIKKICON;Permanent;SLS;;{"PUBLIC"}
viikkicon;Event;SLS;viikkicon;{"PUBLIC"}
Desucon 2017 (kesä);Event;SLS;Desucon 2017;{"PUBLIC"}
Ropecon 2017;Event;SLS;Ropecon 2017;{"PUBLIC"}
Assembly 2017;Event;SLS;Assembly 2017;{"PUBLIC"}
Worldcon75;Event;SLS;Worldcon 75;{"PUBLIC"}
Tracon XII 2017;Event;SLS;Tracon XII;{"PUBLIC"}
Lautapelaamaan 2017;Event;SLS;Lautapelaamaan 2017;{"PUBLIC"}
Viikin pelipäivät III;Event;Norkkokujan Sirkus;Viikin pelipäivät III;{"PUBLIC"}
Grail Quest 17;Event;SLS;Grail Quest 17;{"PUBLIC"}
Tampere kuplii 2018;Event;Norkkokujan Sirkus;Tampere kuplii 2018;{"PUBLIC"}
Desucon2018;Event;Norkkokujan Sirkus;Desucon 2018;{"PUBLIC"}
Hypecon2018;Event;Norkkokujan Sirkus;Hypecon2018;{"PUBLIC"}
Ropecon XXV;Event;SLS;Ropecon XXV;{"PUBLIC"}
Tracon XIII 2018;Event;SLS;Tracon XIII 2018;{"PUBLIC"}
Lautapelaamaan 2018;Event;SLS;Lautapelaamaan 2018;{"PUBLIC"}
ICT;Permanent;Norkkokujan Sirkus;;{"PUBLIC"}
Nopista Bitteihin;Event;Norkkokujan Sirkus;Nopista Bitteihin;{"PUBLIC"}
Hypecon 2019;Event;SLS;Hypecon 2019;{"PUBLIC"}
Ropecon XXVI;Event;SLS;Ropecon XXVI;{"PUBLIC"}
Tracon XIV 2019;Event;SLS;Tracon XIV 2019;{"PUBLIC"}
Lautapelaamaan 2019;Event;Norkkokujan Sirkus;Lautapelaamaan 2019;{"PUBLIC"}
Tracon Hitpoint 2019;Event;SLS;Tracon Hitpoint 2019;{"PUBLIC"}
Viikin pelipäivät V;Event;Norkkokujan Sirkus;Viikin pelipäivät V;{"PUBLIC"}
